,Year,Month,Date,Total Energy Consumption (in GWh),Total Energy Consumption of CC by Industry Type (in GWh),Load Factor (in %),Quarterly Energy Consumption
1,2014,Jan,1/1/14,4422,,84,
2,2014,Feb,2/1/14,4690,,87,
3,2014,Mar,3/1/14,4485,,90,13597
4,2014,Apr,4/1/14,5249,,84,
5,2014,May,5/1/14,5527,,88,
6,2014,Jun,6/1/14,5650,,89,16426
7,2014,Jul,7/1/14,4929,,84,
8,2014,Aug,8/1/14,5248,,87,
9,2014,Sept,9/1/14,5227,,89,15404
10,2014,Oct,10/1/14,5153,,87,
11,2014,Nov,11/1/14,5283,,88,
12,2014,Dec,12/1/14,4891,,85,15327
13,2015,Jan,1/1/15,4557,,82,
14,2015,Feb,2/1/15,4925,,89,
15,2015,Mar,3/1/15,4696,,89,14178
16,2015,Apr,4/1/15,5416,,84,
17,2015,May,5/1/15,5675,,87,
18,2015,Jun,6/1/15,5923,,89,17014
19,2015,Jul,7/1/15,5413,,87,
20,2015,Aug,8/1/15,5658,,88,
21,2015,Sept,9/1/15,5703,,87,16774
22,2015,Oct,10/1/15,5463,,89,
23,2015,Nov,11/1/15,5711,,87,
24,2015,Dec,12/1/15,5239,,85,16413
25,2016,Jan,1/1/16,5197,,80,
26,2016,Feb,2/1/16,5475,,88,
27,2016,Mar,3/1/16,5361,,85,16033
28,2016,Apr,4/1/16,6102,,85, 
29,2016,May,5/1/16,6302,,86,
30,2016,Jun,6/1/16,6396,,88,18800
31,2016,Jul,7/1/16,5882,,88,
32,2016,Aug,8/1/16,6053,,88,
33,2016,Sept,9/1/16,6079,,87,18014
34,2016,Oct,10/1/16,5872,,89,
35,2016,Nov,11/1/16,5923,,85,
36,2016,Dec,12/1/16,5624,,85,17419
37,2017,Jan,1/1/17,5277,,,
38,2017,Feb,2/1/17,5752,,,
39,2017,Mar,3/1/17,5382,,,16411
40,2017,Apr,4/1/17,6286,,,
41,2017,May,5/1/17,6472,,,
42,2017,Jun,6/1/17,6696,,,19454
43,2017,Jul,7/1/17,6236,,,
44,2017,Aug,8/1/17,6487,,,
45,2017,Sept,9/1/17,6314,,,19037
46,2017,Oct,10/1/17,5977,,,
47,2017,Nov,11/1/17,6236,,,
48,2017,Dec,12/1/17,6195,,,18408
49,2018,Jan,1/1/18,5855,977,,
50,2018,Feb,2/1/18,6169,1291,,
51,2018,Mar,3/1/18,5899,1021,81,17923
52,2018,Apr,4/1/18,6560,1682,77,
53,2018,May,5/1/18,6949,2071,80,
54,2018,Jun,6/1/18,6817,1939,79,20326
55,2018,Jul,7/1/18,6447,1569,81,
56,2018,Aug,8/1/18,6647,1769,81,
57,2018,Sept,9/1/18,6641,1763,81,19735
58,2018,Oct,10/1/18,6789,1911,81,
59,2018,Nov,11/1/18,6666,1788,80,
60,2018,Dec,12/1/18,6311,1433,78,19766
61,2019,Jan,1/1/19,6046,1168,77,
62,2019,Feb,2/1/19,6202,1324,82,
63,2019,Mar,3/1/19,6135,1257,81,18383
64,2019,Apr,4/1/19,7162,2284,78,
65,2019,May,5/1/19,7384,2506,81,
66,2019,Jun,6/1/19,7697,2819,81,22243
67,2019,Jul,7/1/19,7042,2164,80,
68,2019,Aug,8/1/19,6997,2119,80,
69,2019,Sept,9/1/19,6929,2051,80,20968
70,2019,Oct,10/1/19,7118,2240,81,
71,2019,Nov,11/1/19,7080,2202,80,
72,2019,Dec,12/1/19,6483,1605,78,20681
73,2020,Jan,1/1/20,6455,1562,76,
74,2020,Feb,2/1/20,6613,1721,81,
75,2020,Mar,3/1/20,6224,1447,70,19292
76,2020,Apr,4/1/20,3760,940,77,
77,2020,May,5/1/20,7284,1134,71,
78,2020,Jun,6/1/20,7949,1487,79,18993
79,2020,Jul,7/1/20,6789,1511,82,
80,2020,Aug,8/1/20,6789,1511,80,
81,2020,Sept,9/1/20,6852,1574,81,20430
82,2020,Oct,10/1/20,6380,1517,81,
83,2020,Nov,11/1/20,6390,1527,78,
84,2020,Dec,12/1/20,6426,1532,80,19196
85,2021,Jan,1/1/21,6129,1489,77,
86,2021,Feb,2/1/21,6358,1608,82,
87,2021,Mar,3/1/21,6205,1510,82,18692
88,2021,Apr,4/1/21,7205,1545,77,
89,2021,May,5/1/21,7303,1642,79,
90,2021,Jun,6/1/21,7581,1757,81,22089
91,2021,Jul,7/1/21,6926,1633,80,
92,2021,Aug,8/1/21,6948,1658,79,
93,2021,Sept,9/1/21,6949,1659,79,20823
94,2021,Oct,10/1/21,6686,1672,81,
95,2021,Nov,11/1/21,6767,1780,81,
96,2021,Dec,12/1/21,6872,1638,78,20325
97,2022,Jan,1/1/22,6398,1588,76,
98,2022,Feb,2/1/22,6613,1776,82,
99,2022,Mar,3/1/22,6354,1671,80,19365
100,2022,Apr,4/1/22,7727,1782,77,
101,2022,May,5/1/22,7418,1828,80,
102,2022,Jun,6/1/22,7617,1923,81,22762
